business_id,city,full_address,latitude,longitude,business_name,review_count,stars,state
5UmKMjUEUNdYWqANhGckJw,Dravosburg,"4734 Lebanon Church Rd
Dravosburg, PA 15034",40.3543266,-79.9007057,Mr Hoagie,7,3.5,PA
mVHrayjG3uZ_RLHkLj-AMg,Braddock,"414 Hawkins Ave
Braddock, PA 15104",40.4088301,-79.86621070000001,Emil's Lounge,26,4.5,PA
KayYbHCt-RkbGcPdGOThNg,Carnegie,"141 Hawthorne St
Greentree
Carnegie, PA 15106",40.4154859,-80.0675491,Alexion's Bar & Grill,23,4.0,PA
wJr6kSA5dchdgOdwH6dZ2w,Carnegie,"2100 Washington Pike
Carnegie, PA 15106",40.3875124,-80.0932152,Kings Family Restaurant,10,3.5,PA
fNGIbpazjTRdXgwRY_NIXA,Carnegie,"1201 Washington Ave
Carnegie, PA 15106",40.396468799999994,-80.0849416,Rocky's Lounge,10,4.0,PA
b9WZJp5L1RZr4F1nxclOoQ,Carnegie,"1073 Washington Ave
Carnegie, PA 15106",40.3980013,-80.08345770000001,Gab & Eat,69,4.5,PA
zaXDakTd3RXyOa7sMrUE1g,Carnegie,"202 3rd Ave
Carnegie
Carnegie, PA 15106",40.404638,-80.089985,Barb's Country Junction Cafe,9,4.0,PA
WETE_LykpcnrC1sFcQ5EGg,Carnegie,"215 E Main St
Carnegie
Carnegie, PA 15106",40.40867,-80.085279,Paddy's Pour House,8,3.5,PA
6o3RK6rTcN3nw-j-r2nQmA,Carnegie,"231 E Main St
Carnegie
Carnegie, PA 15106",40.408832000000004,-80.0849338,Porto Fino Pizzaria & Gyro,4,2.5,PA
rv7CY8G_XibTx82YhuqQRw,Carnegie,"Raceway Plz
Carnegie, PA 15106",40.3868915,-80.0937037,Long John Silver's,6,3.0,PA
SQ0j7bgSTazkVQlF5AnqyQ,Carnegie,"214 E Main St
Carnegie
Carnegie, PA 15106",40.4083473,-80.0849615,Don Don Chinese Restaurant,10,2.5,PA
wqu7ILomIOPSduRwoWp4AQ,Pittsburgh,"2180 Greentree Rd
Pittsburgh, PA 15220",40.39114,-80.07378800000001,Denny's,16,3.5,PA
P1fJb2WQ1mXoiudj8UE44w,Carnegie,"200 E Main St
Carnegie
Carnegie, PA 15106",40.4081527,-80.085153,Papa J's,81,3.5,PA
8QlnAcjGE6dgfKTVoxrPvQ,Pittsburgh,"300 Davis Blvd
Etna
Pittsburgh, PA 15275",40.495166999999995,-79.95871700000001,Boston Market,3,2.5,PA
t_gan0EXAw8csKIeFyazJw,Homestead,"820 Amity St
Homestead
Homestead, PA 15120",40.4067047,-79.9105266,Homestead Capri Pizza,4,2.0,PA
PK6aSizckHFWk8i0oxt5DA,Homestead,"400 Waterfront Dr E
Homestead
Homestead, PA 15120",40.412012,-79.9098858,McDonald's,12,2.0,PA
